Latitude,Longitude,Stop_name,Stop_status
40.695983,-73.991033,CADMAN PZ W/TILLARY ST,at stop
40.687351,-73.977024,FULTON ST/FT GREENE PL,at stop
40.686154,-73.974049,FULTON ST/S PORTLAND AV,at stop
40.686173,-73.950949,GATES AV/NOSTRAND AV,at stop
40.687523,-73.939236,GATES AV/MARCUS GARVEY BL,at stop
40.694857,-73.990692,CADMAN PZ W/TILLARY ST,at stop
40.686293,-73.974396,FULTON ST/S PORTLAND AV,approaching
40.685291,-73.958622,GATES AV/CLASSON AV,approaching
40.688627,-73.929632,GATES AV/MALCOLM X BL,approaching
40.698802,-73.912923,GATES AV/IRVING AV,approaching
40.696191,-73.991084,Tillary St (not used),approaching
40.689262,-73.924088,GATES AV/BROADWAY,< 1 stop away
40.700567,-73.909981,GATES AV/WYCKOFF AV,< 1 stop away
40.696125,-73.989385,ADAMS ST/BKLYN SUPREME CRT,< 1 stop away
